chi^2 	 1.878337	 +-	 0.080850 	(4.37 %)	 1.849019
JD0 	 2434222.563105	 +-	 0.004337 	(0.00 %)	 2434222.566684
P 	 4.672487	 +-	 0.000001 	(0.00 %)	 4.672486
qmt 	 0.000000	 +-	 0.000000 	(nan %)	 0.000000
p3 	 15793.471054	 +-	 1.416110 	(0.01 %)	 15792.001028
A 	 0.217637	 +-	 0.003203 	(1.49 %)	 0.214589
e 	 0.577844	 +-	 0.025906 	(4.35 %)	 0.595824
T0 	 2433668.812139	 +-	 5.063858 	(0.00 %)	 2433662.178682
omega 	 98.226012	 +-	 1.477106 	(1.52 %)	 96.967457
