chi^2 	 0.232987	 +-	 0.012981 	(5.53 %)
JD0 	 2434991.238100	 +-	 35289.728099 	(1.43 %)
P 	 1.774740	 +-	 0.025721 	(1.43 %)
qmt 	 1.807565	 +-	 0.620094 	(36.03 %)
p3 	 25896.616398	 +-	 421.013868 	(1.61 %)
A 	 0.065466	 +-	 0.001715 	(2.62 %)
e 	 0.601688	 +-	 0.031872 	(5.64 %)
T0 	 2418020.400442	 +-	 35043.801286 	(1.43 %)
omega 	 70.719881	 +-	 4.504631 	(6.12 %)
p 	 0.000000	 +-	 0.000000 	(nan %)
r 	 0.000000	 +-	 0.231913 	(inf %)
